id,name,analyst,current_url,final_url,status_code,verdict,why,rss_feeds,ical_feeds,jsonld_events,sec_cik,suggested_action
2536,Cushman & Wakefield,Ibrahim Dughman,https://ir.cushmanwakefield.com/home/default.aspx?_gl=1*1mek6qy*_ga*MTU2NTI0NjcyNC4xNzcwODA5OTcz*_ga_B63VJVKT85*czE3NzA4MDk5ODEkbzEkZzEkdDE3NzA4MTAwMTIkajYwJGwwJGgw*_ga_D68R2GB427*czE3NzA4MDk5ODEkbzEkZzEkdDE3NzA4MTAwNTAkajIyJGwwJGgw*_ga_LM51XKPGE6*czE3NzA4MDk5ODIkbzEkZzEkdDE3NzA4MTAwNTAkajIyJGwwJGgw*_gcl_au*MjExMjQzNDc2Mi4xNzcwODA5OTg3,https://ir.cushmanwakefield.com/home/default.aspx?_gl=1*1mek6qy*_ga*MTU2NTI0NjcyNC4xNzcwODA5OTcz*_ga_B63VJVKT85*czE3NzA4MDk5ODEkbzEkZzEkdDE3NzA4MTAwMTIkajYwJGwwJGgw*_ga_D68R2GB427*czE3NzA4MDk5ODEkbzEkZzEkdDE3NzA4MTAwNTAkajIyJGwwJGgw*_ga_LM51XKPGE6*czE3NzA4MDk5ODIkbzEkZzEkdDE3NzA4MTAwNTAkajIyJGwwJGgw*_gcl_au*MjExMjQzNDc2Mi4xNzcwODA5OTg3,200,ir-page-no-calendar,IR content but no calendar keywords,0,0,0,0001628369,use-sec
2706,Custom Truck,Arturo Miquel,https://investors.customtruck.com/events-and-presentations/default.aspx,https://investors.customtruck.com/events-and-presentations/default.aspx,200,ir-page-no-calendar,IR content but no calendar keywords,0,0,0,,find-calendar-subpage
3566,Cvent,Clemente Masferrer,https://www.cvent.com/en/event-management-software/event-reporting,https://www.cvent.com/en/event-management-software/event-reporting,200,calendar-page,calendar/results keywords present,0,0,1,,use-jsonld
53870,Czechoslovak Group,Sharusree Nandakumar,https://czechoslovakgroup.com/en/for-investors?section=annual+reports&year=2024,https://investors.csg.com/en,200,calendar-page,calendar/results keywords present,0,0,0,,keep-current
68421,DAMAC,Preveena Nantha Kumar,https://www.damacproperties.com/en/investor-relations/,https://www.damacproperties.com/en/investor-relations/,200,ir-page-no-calendar,IR content but no calendar keywords,0,0,0,,find-calendar-subpage
57846,DBS Bank,Preveena Nantha Kumar,https://www.dbs.com/investors/events-and-presentations/default.page?productId=jxeaw797&pid=sg-group-pweb-investors-cardtiles-events-presentations,https://www.dbs.com/investors/events-and-presentations/default.page?productId=jxeaw797&pid=sg-group-pweb-investors-cardtiles-events-presentations,200,calendar-page,calendar/results keywords present,0,0,0,,keep-current
2960,DIRECTV,Oscar Carrasco,https://www.directv.com/,https://www.directv.com/,0,fetch-error,"TimeoutError: Page.goto: Timeout 20000ms exceeded.
Call log:
navigating to ""https://www.direct",0,0,0,,replace-url
5108,DL Invest Group,Danny Bin Khairul Nizam,https://dlinvest.pl/en/reports/,https://dlinvest.pl/en/reports/,200,calendar-page,calendar/results keywords present,2,0,0,,use-rss
57961,DNB Bank,Sharusree Nandakumar,https://www.ir.dnb.no/financial-calendar,https://www.ir.dnb.no/financial-calendar,200,calendar-page,calendar/results keywords present,0,0,0,,keep-current
57999,DP World Crescent,Muhammad Azrul Mokhtar,https://www.dpworld.com/en/investors/investor-calendar,https://www.dpworld.com/en/investors/investor-calendar,200,calendar-page,calendar/results keywords present,0,0,0,,keep-current
58020,DSV,Michael Clark,https://investor.dsv.com/calendar,https://investor.dsv.com/calendar,502,ir-page-no-calendar,IR content but no calendar keywords,0,0,0,,find-calendar-subpage
